root, WNsense, synonyms, definition, Category
able,WID-00001740-A-??-able,(able),"(usually followed by `to') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""",Actions
breathe,WID-00001740-V-??-breathe,"(breathe, take_a_breath, respire, suspire)","draw air into, and expel out of, the lungs; ""I can breathe better when the air is clean""; ""The patient is respiring""",Not-a-Feeling
respire,WID-00001740-V-??-respire,"(breathe, take_a_breath, respire, suspire)","draw air into, and expel out of, the lungs; ""I can breathe better when the air is clean""; ""The patient is respiring""",Not-a-Feeling
able,WID-00002098-A-??-unable,(unable),"(usually followed by `to') not having the necessary means or skill or know-how; ""unable to get to town without a car""; ""unable to obtain funds""",Actions
respire,WID-00002325-V-??-respire,(respire),undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide,Not-a-Feeling
respire,WID-00002573-V-??-respire,(respire),"breathe easily again, as after exertion or anxiety",Physiological
hard,WID-00002621-R-??-hardly,"(barely, hardly, just, scarcely, scarce)","only a very short time before; ""they could barely hear the speaker""; ""we hardly knew them""; ""just missed being hit""; ""had scarcely rung the bell when the door flew open""; ""would have scarce arrived before she would have found some excuse to leave""- W.B.Yeats",Not-a-Feeling
just,WID-00002621-R-??-just,"(barely, hardly, just, scarcely, scarce)","only a very short time before; ""they could barely hear the speaker""; ""we hardly knew them""; ""just missed being hit""; ""had scarcely rung the bell when the door flew open""; ""would have scarce arrived before she would have found some excuse to leave""- W.B.Yeats",Not-a-Feeling
scarce,WID-00002621-R-??-scarce,"(barely, hardly, just, scarcely, scarce)","only a very short time before; ""they could barely hear the speaker""; ""we hardly knew them""; ""just missed being hit""; ""had scarcely rung the bell when the door flew open""; ""would have scarce arrived before she would have found some excuse to leave""- W.B.Yeats",Not-a-Feeling
scarce,WID-00002621-R-??-scarcely,"(barely, hardly, just, scarcely, scarce)","only a very short time before; ""they could barely hear the speaker""; ""we hardly knew them""; ""just missed being hit""; ""had scarcely rung the bell when the door flew open""; ""would have scarce arrived before she would have found some excuse to leave""- W.B.Yeats",Not-a-Feeling
just,WID-00002950-R-??-just,(just),"exactly at this moment or the moment described; ""we've just finished painting the walls, so don't touch them"";",Not-a-Feeling
hard,WID-00003093-R-??-hardly,"(hardly, scarcely)","almost not; ""he hardly ever goes fishing""; ""he was hardly more than sixteen years old""; ""they scarcely ever used the emergency generator""",Not-a-Feeling
scarce,WID-00003093-R-??-scarcely,"(hardly, scarcely)","almost not; ""he hardly ever goes fishing""; ""he was hardly more than sixteen years old""; ""they scarcely ever used the emergency generator""",Not-a-Feeling
aspirate,WID-00003316-V-??-aspirate,(aspirate),suck in (air),Not-a-Feeling
belch,WID-00003431-V-??-belch,"(burp, bubble, belch, eruct)","expel gas from the stomach; ""In China it is polite to burp at the table""",Not-a-Feeling
point,WID-00004038-R-??-pointedly,(pointedly),"in such a manner as to make something clearly evident; ""he pointedly ignored the question""",Not-a-Feeling
exhale,WID-00004227-V-??-exhale,"(exhale, expire, breathe_out)","expel air; ""Exhale when you lift the weight""",Not-a-Feeling
last,WID-00004296-A-??-last,(last),"occurring at the time of death; ""his last words""; ""the last rites""",Not-a-Feeling
kind,WID-00004394-R-??-kindly,(kindly),"in a kind manner or out of kindness; ""He spoke kindly to the boy""; ""she kindly overlooked the mistake""",Social
kind,WID-00004567-R-??-unkindly,(unkindly),"in an unkind manner or with unkindness; ""The teacher treats the children unkindly""",Social
emanate,WID-00004605-V-??-emanate,"(exhale, give_forth, emanate)","give out (breath or an odor); ""The chimney exhales a thick smoke""",Not-a-Feeling
exhale,WID-00004605-V-??-exhale,"(exhale, give_forth, emanate)","give out (breath or an odor); ""The chimney exhales a thick smoke""",Not-a-Feeling
cut,WID-00004615-A-??-cut,"(cut, shortened)","with parts removed; ""the drastically cut film""",Not-a-Feeling
just,WID-00004722-R-??-just,"(merely, simply, just, only, but)","and nothing more; ""I was merely asking""; ""it is simply a matter of time""; ""just a scratch""; ""he was only a child""; ""hopes that last but a moment""",Not-a-Feeling
sneeze,WID-00004819-V-??-sneeze,(sneeze),"exhale spasmodically, as when an irritant entered one's nose; ""Pepper makes me sneeze""",Not-a-Feeling
inhale,WID-00005041-V-??-inhale,"(inhale, inspire, breathe_in)","draw in (air); ""Inhale deeply""; ""inhale the fresh mountain air""; ""The patient has trouble inspiring""; ""The lung cancer patient cannot inspire air very well""",Not-a-Feeling
direct,WID-00005473-A-??-direct,(direct),"lacking compromising or mitigating elements; exact; ""the direct opposite""",Not-a-Feeling
gasp,WID-00005526-V-??-gasp,"(pant, puff, gasp, heave)","breathe noisily, as when one is exhausted; ""The runners reached the finish line, panting heavily""",Not-a-Feeling
puff,WID-00005526-V-??-puff,"(pant, puff, gasp, heave)","breathe noisily, as when one is exhausted; ""The runners reached the finish line, panting heavily""",Not-a-Feeling
relate,WID-00006245-A-??-relational,(relational),having a relation or being related,Not-a-Feeling
puff,WID-00006802-V-??-puff,"(puff, huff, chuff)","blow hard and loudly; ""he huffed and puffed as he made his way up the mountain""",Not-a-Feeling
yawn,WID-00007328-V-??-yawn,(yawn),"utter a yawn, as from lack of oxygen or when one is tired; ""The child yawned during the long performance""",Not-a-Feeling
sponge,WID-00007516-A-??-spongy,"(spongy, spongelike)",like a sponge in being able to absorb liquids and yield it back when compressed,Not-a-Feeling
thirst,WID-00007697-A-??-thirsty,(thirsty),"able to take in large quantities of moisture; ""thirsty towels""",Physiological
part,WID-00007703-R-??-part,"(partially, partly, part)","in part; in some degree; not wholly; ""I felt partly to blame""; ""He was partially paralyzed""",Not-a-Feeling
person,WID-00007846-N-??-person,"(person, individual, someone, somebody, mortal, soul)","a human being; ""there was too much for one person to do""",Not-a-Feeling
somebody,WID-00007846-N-??-somebody,"(person, individual, someone, somebody, mortal, soul)","a human being; ""there was too much for one person to do""",Not-a-Feeling
soul,WID-00007846-N-??-soul,"(person, individual, someone, somebody, mortal, soul)","a human being; ""there was too much for one person to do""",Not-a-Feeling
altogether,WID-00008007-R-??-altogether,"(wholly, entirely, completely, totally, all, altogether, whole)","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); ""he was wholly convinced""; ""entirely satisfied with the meal""; ""it was completely different from what we expected""; ""was completely at fault""; ""a totally new situation""; ""the directions were all wrong""; ""it was not altogether her fault""; ""an altogether new approach""; ""a whole new idea""",Not-a-Feeling
complete,WID-00008007-R-??-completely,"(wholly, entirely, completely, totally, all, altogether, whole)","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); ""he was wholly convinced""; ""entirely satisfied with the meal""; ""it was completely different from what we expected""; ""was completely at fault""; ""a totally new situation""; ""the directions were all wrong""; ""it was not altogether her fault""; ""an altogether new approach""; ""a whole new idea""",Not-a-Feeling
